wavelength (nm),G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
490.0,5869.0,4460.0,3321.0,2494.0,2033.0,1808.0,1638.0,1735.0,1475.0,1356.0,1420.0,1327.0,3840.0,3072.0,2429.0,1721.0,1461.0,1246.0,1124.0,1403.0,1323.0,1750.0,952.0,948.0
495.0,5302.0,4206.0,3166.0,2358.0,1928.0,1707.0,1555.0,1632.0,1342.0,1263.0,1339.0,1272.0,3658.0,2899.0,2225.0,1660.0,1334.0,1140.0,1079.0,1264.0,1227.0,1534.0,925.0,889.0
500.0,5063.0,3964.0,2914.0,2228.0,1800.0,1595.0,1430.0,1450.0,1277.0,1185.0,1312.0,1151.0,3484.0,2732.0,2117.0,1531.0,1284.0,1082.0,1024.0,1105.0,1136.0,1399.0,853.0,837.0
505.0,4652.0,3563.0,2782.0,2042.0,1685.0,1450.0,1348.0,1345.0,1182.0,1105.0,1273.0,1086.0,3184.0,2581.0,1946.0,1420.0,1228.0,1012.0,932.0,1000.0,1031.0,1301.0,783.0,785.0
510.0,4327.0,3303.0,2562.0,1903.0,1536.0,1368.0,1281.0,1235.0,1102.0,1045.0,1201.0,1004.0,2984.0,2389.0,1813.0,1391.0,1086.0,929.0,886.0,900.0,948.0,1142.0,746.0,723.0
515.0,3910.0,3135.0,2345.0,1782.0,1465.0,1255.0,1146.0,1173.0,1030.0,949.0,1105.0,932.0,2824.0,2251.0,1705.0,1258.0,1045.0,882.0,823.0,851.0,879.0,1061.0,715.0,662.0
520.0,3604.0,2824.0,2211.0,1644.0,1361.0,1171.0,1099.0,1036.0,962.0,894.0,984.0,898.0,2580.0,2092.0,1565.0,1185.0,955.0,840.0,747.0,783.0,790.0,929.0,668.0,617.0
525.0,3390.0,2653.0,2050.0,1518.0,1239.0,1108.0,1013.0,982.0,919.0,841.0,931.0,801.0,2431.0,1945.0,1490.0,1093.0,924.0,764.0,716.0,719.0,739.0,856.0,608.0,588.0
530.0,3040.0,2435.0,1882.0,1431.0,1152.0,1016.0,953.0,930.0,830.0,779.0,830.0,773.0,2254.0,1819.0,1364.0,1021.0,853.0,709.0,659.0,658.0,687.0,762.0,585.0,563.0
535.0,2831.0,2260.0,1759.0,1343.0,1080.0,974.0,867.0,853.0,795.0,726.0,801.0,726.0,2092.0,1736.0,1320.0,948.0,805.0,668.0,635.0,631.0,644.0,722.0,574.0,531.0
540.0,2618.0,2110.0,1672.0,1278.0,1079.0,948.0,878.0,854.0,787.0,753.0,774.0,745.0,1956.0,1644.0,1224.0,959.0,794.0,705.0,645.0,633.0,659.0,714.0,583.0,547.0
545.0,2531.0,2047.0,1611.0,1244.0,1063.0,946.0,904.0,857.0,823.0,771.0,807.0,740.0,1873.0,1603.0,1215.0,948.0,819.0,724.0,669.0,669.0,664.0,707.0,616.0,582.0
550.0,2333.0,1946.0,1569.0,1247.0,1059.0,961.0,948.0,864.0,842.0,808.0,865.0,777.0,1803.0,1522.0,1191.0,953.0,854.0,732.0,702.0,687.0,692.0,738.0,660.0,634.0
555.0,2228.0,1851.0,1503.0,1220.0,1060.0,978.0,950.0,890.0,853.0,830.0,855.0,816.0,1723.0,1497.0,1162.0,958.0,846.0,758.0,706.0,735.0,730.0,736.0,675.0,677.0
560.0,2063.0,1727.0,1444.0,1165.0,1010.0,948.0,909.0,873.0,839.0,804.0,827.0,803.0,1672.0,1400.0,1121.0,934.0,826.0,733.0,679.0,701.0,719.0,726.0,677.0,642.0
565.0,1860.0,1530.0,1307.0,1041.0,904.0,845.0,822.0,764.0,744.0,737.0,746.0,697.0,1522.0,1229.0,991.0,841.0,780.0,643.0,620.0,630.0,621.0,655.0,605.0,573.0
570.0,1648.0,1391.0,1152.0,911.0,784.0,747.0,715.0,673.0,638.0,608.0,643.0,597.0,1337.0,1122.0,855.0,719.0,653.0,575.0,534.0,531.0,538.0,548.0,522.0,494.0
575.0,1452.0,1240.0,973.0,795.0,681.0,621.0,614.0,544.0,549.0,518.0,546.0,505.0,1188.0,975.0,756.0,618.0,545.0,462.0,453.0,435.0,445.0,450.0,415.0,399.0
580.0,1310.0,1052.0,864.0,677.0,578.0,531.0,507.0,465.0,447.0,419.0,453.0,417.0,1026.0,828.0,640.0,505.0,454.0,385.0,364.0,344.0,363.0,357.0,340.0,338.0
585.0,1164.0,931.0,758.0,592.0,491.0,453.0,438.0,379.0,379.0,358.0,381.0,345.0,920.0,734.0,560.0,456.0,377.0,322.0,287.0,284.0,299.0,298.0,271.0,272.0
590.0,1056.0,833.0,685.0,526.0,431.0,426.0,402.0,355.0,343.0,322.0,334.0,316.0,835.0,669.0,504.0,400.0,320.0,306.0,272.0,263.0,267.0,267.0,253.0,251.0
595.0,935.0,764.0,608.0,483.0,431.0,359.0,359.0,322.0,318.0,300.0,309.0,294.0,785.0,628.0,445.0,376.0,305.0,264.0,245.0,233.0,249.0,240.0,230.0,227.0
600.0,862.0,688.0,591.0,440.0,367.0,342.0,333.0,292.0,290.0,284.0,285.0,268.0,687.0,570.0,425.0,357.0,289.0,250.0,221.0,226.0,231.0,237.0,228.0,216.0
